content,language,doubleQuality
Spodziewałam się lepszej jakosci. Proszek nie wyróżnia się niczym od zwykłego proszku. ,POL,1
Dużo kilo. Nie pachnie jak niemiecki,POL,1
"Tutaj uwaga do tych co piszą, że kod kreskowy zaczyna się na 8 zamiast 4. Kupując w sklepie Niemieckim (za granicą) jest dokładnie tak samo. Jednak widać po produkcie, że nie jest to produkt przeznaczony na rynek Polski.",POL,1
"Zdecydowanie lepszy niż polski odpowiednik, Polecam",POL,1
Ariel z Niemiec jak do tej pory mnie nie zawiódł! Wszystko czyste i doprane! Polecam!!!,POL,1
"Mam wrażenie,  że to jakaś gorsza wersja. Nie pierze tak dobrze jak ten, który kupiłam w sklepie. ",POL,1
"Moj ulubiony proszek. Super zapach, swietnie pierze (lepiej niz niemieckie te drozsze slawne, ktore maja dodatkowo mase innych minusow), i nie uczula.",POL,1
"Proszek Gama z Vizirem raczej nie ma nic wspólnego. Nie dopiera i po praniu nie pachnie jak niemiecki Vizir. Ba, on jest nawet słabszy niż polski vizir.",POL,1
"Za te pieniądze całkiem niezły proszek. Na pewno lepszy od tych w naszych marketach. Intensywny zapach, dobrze pierze, choć z większymi plamami jest czasem problem . Nie jest to jakaś super-mega -rewelacja (proszek nie jest produkowany w Niemczech ), ale i tak warto kupić. :) ",POL,1
"Kupuję go dlatego że proszki produkowane na Europę wschodnią mają w swoim składzie więcej wypełniaczy ( kredy ) niż te w niemczech. Początkowo niemcy ( tak, z małej litery ) tłumaczyli to uwarunkowaniami klimatycznymi ale gdy ich agrument został wyśmiany, stwierdzili że Polacy zbyt dużo sypią proszku na każde pranie i stąd większa ilość kredy w produkcie. ",POL,1
Bardzo dobry super co Niemieckie to Niemiecki .,POL,1
Żadnej różnicy czy nasz krajowy czy z niemiec,POL,1
"proszek jak proszek, tylko ta wydajnośc lepsza niż jego polskiej wersji. ""Niemieckie wydanie"" wystarcza na znacznie dłużej.",POL,1
Ładny zapach moim zdaniem jest lepszy od VIZIRU z biedronki . ,POL,1
"Następca Viziru - proszku Vizir używam od wielu lat i jestem mega zadowolony, lepszego nie miałem jeszcze okazji testować. Mam wrażenie, że ostatnimi czasy jakość spadła nieco i może dlatego zmienili markę, nie jest on już produkowany w Niemczech (choć nadal jest faktycznie na rynek niemiecki i szwajcarski). Mimo wszystko jest to ciągle najlepszy znany mi proszek do prania, o dużej wydajności, nie niszczący odzieży. Przede wszystkim pranie po nim nie ma żadnego intensywnego zapachu ani po wyjęciu z pralki NIE pachnie... moczem (przez chwilę, ale jednak), co jest prawie normą w wielu konkurencyjnych proszkach. Za to go uwielbiam, nie lubię ""perfumowanych"" mocno proszków.",POL,1
Vizir jak Vizir. Trochę lepszy niż dostępny w polskich sklepach. ,POL,1
"Świetna, niemiecka jakość produktu. polecam",POL,1
"Kupuję już długo Vizir z zachodu z powodu świetnej jakości, dobrze pierze, ładnie pachnie.",POL,1
"Proszek jak to proszek, niemiecka chemia.",POL,1
"Jakość i skuteczność proszku przeciętna  może dlatego, że  nie jest to oryginalny produkt produkowany na rynek zachodni.",POL,1
żona mówi że jest lepszy niż polski,POL,1
Wydaje mi się że kiedyś był lepszy ale nadal jest nad polskimi proszkami,POL,1
na zdjęciu niemiecki a w rzeczywistości polski,POL,1
"Proszek miał być niemiecki , a przyjechał opisany po polsku. Ale zapach ok.",POL,1
"oferta na stronie jako produkt niemiecki ,w rzeczywistości produkt czeski ,wprowadzanie w błąd klienta",POL,1
super produkt -niemiecki,POL,1
"Super. Pierze jak reklamowane, a sypie się go mniej(jest bardzo wydajny), nie pachnie agresywnie, jest poprostu lepszy",POL,1
"najlepszy proszek na rynku, najlepszy bo polski",POL,1
"najlepszy proszek na rynku, najlepszy bo polski",POL,1
"Może pierze dobrze, ale na ciemnych ubraniach zostawia plamy. I to nie jest kwestia pralki, bo od kilku lat piorę w różnych proszkach. Pierwszy raz coś takiego mnie spotkało. Pachnie szpitalem. Na pewno więcej nie kupię :-(",POL,1
"chemia nie z polskiego rynku, jakość lepsza niż w naszych sklepach",POL,1
