content,language,doubleQuality
"Dieses Produkt hat nicht mehr dwn alten Duft. Es richt wirklich nicht mehr gut. Schade das man den Duft verändert hat. Bitte macht wieder den alten Duft, das Pulver richt Katastrophal.",DEU,0
"Kaufe nur dieses Produkt, da es das beste Geruchs- und Waschergebnis",DEU,0
"zum 1. Mal ausprobiert und begeistert, im Vergleich zu anderen Vollwaschmitteln zeimlich teuer, ansonsten sehr zu empfehlen",DEU,0
"Ich habe selten richtig schmutzige Wäsche aber wenn es doch mal dazu kommt schafft das Pulver die locker! Ich Wäsche vor allem Weisse Wäsche mit diesem pulver. Vor allem Bettwäsche und Handtücher und alles strahlt und riecht einfach Mega gut! Der ganze Raum riecht nach frischer Wäsche, ich fühle mich dann richtig wohl. Ich denke aber, dass das sehe persönlich ist und einige den Duft zu stark finden würden, ich aber liebe ihn",DEU,0
"Leider muss ich mich nach sage und schreibe 42 Jahren treuste und überzeugte Ariel Kundin nach einem anderen Hersteller umsehen.
Ariel color Pulver im Karton umweltbewusst und von mir geliebt!! 
Wie ist es möglich dass man einen derart penetranten, aufdringlichen Geruch...nein Gestank in ein Waschmittel integriert?? Für mich unfassbar.... Ist das die neue Generation......nicht an altbewährtem festhalten.... nein mit aller Gewalt Änderungen herbeiführen.
Verstehe es wer wolle, ich nicht.
Lieben Dank der ""Klementine"" 
Sie war es die mich zu Ariel brachte.....ich war 19......heute 61...... schade.....mein Umsatzt bricht jetzt weg, leider....ich wäre gerne treu geblieben",DEU,0
"Die Waschleistung von dem neuen Pulver hält nicht was versprochen wurde. Dazu der geänderte Geruch, der penetrant in der Nase beißt. 
Ich nehme seit über 20 Jahren Ariel compact, da dies das einzige Waschmittel war, auf das weder mein Mann noch mein Sohn allergisch reagierten. Dies ist nun leider vorbei. 
Schade, dass die Änderung heimlich vorgenommen wurde. Wir haben einige ziemlich unangenehme Wochen verbracht, bis wir herausgefunden haben, woran die Hautreaktionen lagen. Nun muss ich einen extra Spülgang einlegen, was sicherlich nicht im Sinne des Umweltschutzes ist.
Es nutzt mir nichts, wenn die Wäsche nun schon bei 20 Grad ""sauberer als je zuvor"" wird, wenn ich dafür Wasser verschwenden muss, damit die mit dem neuen ariel gewaschene Wäsche überhaupt getragen werden kann.
Jetzt bin ich wieder auf einer mühevollen Suche nach einem verträglichen Waschmittel. 
Schade, denn ich war jahrelang mit Ariel äußerst zufrieden. Das hat sich nun erheblich geändert.",DEU,0
Das Ariel Vollwaschmittel gehört in jeden guten Haushalt. Entfernt Flecken jeder Art und riecht sogar noch gut. Es gibt nichts worüber ich mich da beschweren könnte.,DEU,0
Ich finde denn duft sehr angenem kann ich nur weiter emfehlen toll,DEU,0
"Was haben Sie mit Ihrem ""Ariel Color"" Waschmittel gemacht?
Die Zusammensetzung ist anders geworden, deutlich sichtbar, wenn man den Plastikbeutel mit der Schere aufschneidet.
Dazu ist der Geruch nun derart penetrant parfumiert, dass ich mir überlegen muss, ob ich weiterhin mit diesem Waschmittel waschen werde oder mir ein anderes Produkt nach 30 Jahren Nutzung aussuchen werde.
Das ist nicht mehr das Testsieger-Produkt, das ich so gern genutzt habe!

War es denn unbedingt notwendig die Formel zu ändern?
Mit dieser neuen Zusammensetzung vergraulen Sie Ihre Ariel Stammkunden.
Was mich dabei am meisten nervt, ist die Tatsache, dass die Produktänderung still und heimlich vonstatten ging und der Kunde das erst bemerkt, wenn er den Waschmittelbeutel öffnet.

Mir gefällt das ganz und gar nicht, was Sie da getan haben. Die vielen schlechten Bewertungen mit nur einem Stern kann ich nach vollziehen.",DEU,0
"Hab schon viele verschiedene Waschmittel ausprobiert, aber greif immer wieder zu Ariel zurück. Für mich das beste Waschmittel.",DEU,0
