Text,Origin,IsDoubleQuality
"Zdecydowanie już nie był.Odkryłem go tutaj ponownie w Amazon po kilku latach, zamówiłem go od razu i muszę powiedzieć, że jestem rozczarowany.Zapach jest świetny w opakowaniu, ale pranie wcale nie pachnie, szczególnie nie tak jak wcześniej, wydajność mycia była również lepsza.Nigdy więcej tego nie zamówię.Ponadto jest teraz drogie!",DEU,1
Niestety zapach został zmieniony jakiś czas temu i to nie była zaleta.Kiedyś lubiłem lepiej.Szkoda.,DEU,1
"Od tego czasu formuła została zmieniona, detergent śmierdzi wyjątkowo, a nawet po umyciu prania nawet śmierdzi.Kiedyś było znacznie lepsze.Dlaczego coś zawsze trzeba zmienić?",DEU,1
"Przy zamawianiu było to tylko więcejAle potem musiałem stwierdzić, że ten „koncentrat” ma dwa razy więcej dawki niż produkt „ekologiczny proszek do mycia”.Ponadto proszek kleje podczas płukania w komorze płukania i dlatego nie jest w pełni zmywany.Efekt prania - dobre odpowiada drugiemu produktowi, ale ten koncentrat jest znacznie gorszy podczas obsługi.",DEU,1
"Ten zły zapach jest już dostrzegalny przez opakowanie - już wcześniej kupiłem PKG i pokonałem się, ale miałem z nim pranie z lat 60. .......... Proszek jest spostrzegalny, a także naprawdę „połączenie”, Prawie musiałem przekazać!.Jestem bardzo rozczarowany producentem, że tak bardzo pogorszył ten wspaniały produkt!Mając nadzieję na otrzymanie starego PKG, zamówiłem inny, teraz odesłam go z powrotem nieotwarty, ponieważ możesz również dostrzec kiepski zapach przez zamkniętą paczkę .. wstrząśnij dziesięć !!!Brak rekomendacji zakupu dla „nowej” Ariel w proszku!",DEU,1
"Oczyści i pachnie dobrze, uniwersalne megaperle są znacznie lepsze niż uniwersalny wicver, cena mówi sama za siebie",DEU,1
Spodziewałam się lepszej jakosci. Proszek nie wyróżnia się niczym od zwykłego proszku. ,POL,1
Dużo kilo. Nie pachnie jak niemiecki,POL,1
"Tutaj uwaga do tych co piszą, że kod kreskowy zaczyna się na 8 zamiast 4. Kupując w sklepie Niemieckim (za granicą) jest dokładnie tak samo. Jednak widać po produkcie, że nie jest to produkt przeznaczony na rynek Polski.",POL,1
"Zdecydowanie lepszy niż polski odpowiednik, Polecam",POL,1
Ariel z Niemiec jak do tej pory mnie nie zawiódł! Wszystko czyste i doprane! Polecam!!!,POL,1
"Mam wrażenie,  że to jakaś gorsza wersja. Nie pierze tak dobrze jak ten, który kupiłam w sklepie. ",POL,1
"Moj ulubiony proszek. Super zapach, swietnie pierze (lepiej niz niemieckie te drozsze slawne, ktore maja dodatkowo mase innych minusow), i nie uczula.",POL,1
"Proszek Gama z Vizirem raczej nie ma nic wspólnego. Nie dopiera i po praniu nie pachnie jak niemiecki Vizir. Ba, on jest nawet słabszy niż polski vizir.",POL,1
"Za te pieniądze całkiem niezły proszek. Na pewno lepszy od tych w naszych marketach. Intensywny zapach, dobrze pierze, choć z większymi plamami jest czasem problem . Nie jest to jakaś super-mega -rewelacja (proszek nie jest produkowany w Niemczech ), ale i tak warto kupić. :) ",POL,1
"Kupuję go dlatego że proszki produkowane na Europę wschodnią mają w swoim składzie więcej wypełniaczy ( kredy ) niż te w niemczech. Początkowo niemcy ( tak, z małej litery ) tłumaczyli to uwarunkowaniami klimatycznymi ale gdy ich agrument został wyśmiany, stwierdzili że Polacy zbyt dużo sypią proszku na każde pranie i stąd większa ilość kredy w produkcie. ",POL,1
Bardzo dobry super co Niemieckie to Niemiecki .,POL,1
Żadnej różnicy czy nasz krajowy czy z niemiec,POL,1
"proszek jak proszek, tylko ta wydajnośc lepsza niż jego polskiej wersji. ""Niemieckie wydanie"" wystarcza na znacznie dłużej.",POL,1
Ładny zapach moim zdaniem jest lepszy od VIZIRU z biedronki . ,POL,1
"Następca Viziru - proszku Vizir używam od wielu lat i jestem mega zadowolony, lepszego nie miałem jeszcze okazji testować. Mam wrażenie, że ostatnimi czasy jakość spadła nieco i może dlatego zmienili markę, nie jest on już produkowany w Niemczech (choć nadal jest faktycznie na rynek niemiecki i szwajcarski). Mimo wszystko jest to ciągle najlepszy znany mi proszek do prania, o dużej wydajności, nie niszczący odzieży. Przede wszystkim pranie po nim nie ma żadnego intensywnego zapachu ani po wyjęciu z pralki NIE pachnie... moczem (przez chwilę, ale jednak), co jest prawie normą w wielu konkurencyjnych proszkach. Za to go uwielbiam, nie lubię ""perfumowanych"" mocno proszków.",POL,1
Vizir jak Vizir. Trochę lepszy niż dostępny w polskich sklepach. ,POL,1
"Świetna, niemiecka jakość produktu. polecam",POL,1
"Kupuję już długo Vizir z zachodu z powodu świetnej jakości, dobrze pierze, ładnie pachnie.",POL,1
"Proszek jak to proszek, niemiecka chemia.",POL,1
"Jakość i skuteczność proszku przeciętna  może dlatego, że  nie jest to oryginalny produkt produkowany na rynek zachodni.",POL,1
żona mówi że jest lepszy niż polski,POL,1
