content,language,doubleQuality
"Kup tylko ten produkt, ponieważ jest to najlepszy wynik zapachu i mycia",DEU,0
"Niestety muszę szukać innego producenta po 42 latach wiernych przez 42 lata i przekonałem klienta Ariel.
Ariel kolorowy proszek w pudełku w sposób świadomy dla środowiska i kochany przeze mnie !!
Jak można zintegrować taki penetracyjny, natrętny zapach ... bez smrodu w detergent?Niesamowite dla mnie ... to nowe pokolenie ...... nie przylegaj do wypróbowanych i przetestowanych ... nie z całą przemocą.
Rozumiem, kto chce.
Drogi dzięki „klementine”
To ona przywiozła mnie do Ariel ...... miałem 19 ...... dzisiaj 61 ...... Schade ..... mój obrót odrywa się teraz, niestety ... Byłbym cieszę się, że pozostaje wierny",DEU,0
"Myślę, że zapach jest bardzo przyjemny, mogę nadal być świetny",DEU,0
"Ten proszek do mycia jest marzeniem.Pachnie bardzo świeżo i przyjemnie od prania do długiego noszenia.Mam wiele komplementów, że moja pranie tak dobrze pachnie.",DEU,0
"Kiedy szukałem lekarstwa na proszek, znalazłem tylko Ariel od odpowiednich dealerów.Już podczas transportu zamknięte opakowanie dostało penetracyjny zapach w nosie.Po tym, jak w domu ten straszny zapach nakłada się na nasze mieszkanie i salę magazynową, w której znajduje się skrzynka magazynowa dla Ariel.W przeszłości myłem Arielem.Już już nie !!Zniszczy cały pakiet.",DEU,0
"Mogę tylko zgodzić się z innymi recenzjami.Zastanawiałem się również nad strasznym zapachem w samochodzie.Niestety, przeszło to również na moje inne zakupy (jedzenie!).Wszystko w mojej spiżarni pachnie teraz, jak to zmieniło Ariel.Jak powiedzieć, że nic nie zmieniło się na zapach.Mam kichanie i inne reakcje alergiczne.Od dziesięcioleci lubiłem studia Ariel, teraz zmienię markę.",DEU,0
"Produkt nie mówi już, czy jest to zwarty detergent.Kupiłem pudełko, które teraz mówi, że nie nadaje się do przedłużenia.Czy muszę użyć czegoś innego?",DEU,0
Kupiłem wczoraj i jest to super dobry proszek do mycia,DEU,0
"Używam Ariel od lat i, jak zawsze, kupiłem dziś nowy pakiet.Już w samochodzie zauważyłem zapach i zastanawiałem się nad tym, co jest tak penetrujące podczas zakupów w moich zakupach.Kiedy wróciłem do domu, było dla mnie jasne, że to była Ariel.Nie wytrzymuję zapachu z powodu zamkniętego opakowania folii!Teraz umieściłem go na balkonie, ponieważ całe mieszkanie pachnie.Badałem teraz w Internecie i odkryłem, że wielu innych czuje to samo, co ja.Bardzo dziękuję, Ariel.W tej chwili nie mamy wystarczających problemów ... Nie umyję prania tym chemicznie śmierdzącym rzeczami i teraz szukam nowego detergentu.Szkoda i naprawdę denerwująca!",DEU,0
Jestem całkowicie zadowolony.Świetny detergent.Wäscht czysto również mocno brudne nasiona i ma świeży zapach toalety,DEU,0
"Używam Ariel od około 30 lat i zawsze byłem zadowolony z wyniku zapachu i prania.Kupiłem nowe pakiety kilka tygodni temu i mają one gryzący i nieprzyjemny zapach.Po umyciu nie jest już takie złe, ale pranie wciąż nie pachnie przyjemnie.Szkoda!Prawdopodobnie będzie musiał szukać innego produktu.",DEU,0
