content,doubleQuality
używam tego proszku do mycia od  latjest to produktywne od czasu do czasu należy zmniejszyć ilość detergentu ponieważ producenci nadal go koncentrująkolory nie zanikają a pranie stają się bez czystościniestety nie ma już dużych paczek,1
od tego czasu formuła została zmieniona detergent śmierdzi wyjątkowo a nawet po umyciu prania nawet śmierdzikiedyś było znacznie lepszedlaczego coś zawsze trzeba zmienić,1
zakładam że mogę dostać produkt na okładce z lawendą którą wcześniej zamówiłem i pachnie cudownie przyjemne i umiarkowanezamiast tego otrzymasz kolejną nową wersję lavender  eukaliptus która różni się również od opakowania i śmierdzi jak bomba chemicznanie ma już naturalnego zapachu  toleoo dealera twierdzi że odpowiedni produkt został powalony co oczywiście nie jest prawdągdyby była ta sama jakość nie byłoby to coś ale taka bomba chemiczna nie wchodzi do mojego domubez zabawy zostawiłem zamkniętą paczkę na wyciągnięcie ręki na noc ponieważ po krótkim czasie cała klatka schodowanastępnego dnia natychmiast wrócił,1
przy zamawianiu było to tylko więcejale potem musiałem stwierdzić że ten koncentrat ma dwa razy więcej dawki niż produkt ekologiczny proszek do myciaponadto proszek kleje podczas płukania w komorze płukania i dlatego nie jest w pełni zmywanyefekt prania  dobre odpowiada drugiemu produktowi ale ten koncentrat jest znacznie gorszy podczas obsługi,1
zakładam że mogę dostać produkt na okładce z lawendą którą wcześniej zamówiłem i pachnie cudownie przyjemne i umiarkowanezamiast tego otrzymasz kolejną nową wersję lavender  eukaliptus która różni się również od opakowania i śmierdzi jak bomba chemicznanie ma już naturalnego zapachu  toleoo dealera twierdzi że odpowiedni produkt został powalony co oczywiście nie jest prawdągdyby była ta sama jakość nie byłoby to coś ale taka bomba chemiczna nie wchodzi do mojego domubez zabawy zostawiłem zamkniętą paczkę na wyciągnięcie ręki na noc ponieważ po krótkim czasie cała klatka schodowanastępnego dnia natychmiast wrócił,1
ten zły zapach jest już dostrzegalny przez opakowanie  już wcześniej kupiłem pkg i pokonałem się ale miałem z nim pranie z lat   proszek jest spostrzegalny a także naprawdę połączenie prawie musiałem przekazaćjestem bardzo rozczarowany producentem że tak bardzo pogorszył ten wspaniały produktmając nadzieję na otrzymanie starego pkg zamówiłem inny teraz odesłam go z powrotem nieotwarty ponieważ możesz również dostrzec kiepski zapach przez zamkniętą paczkę  wstrząśnij dziesięć brak rekomendacji zakupu dla nowej ariel w proszku,1
często kopiowane i nigdy nie dotarłyoryginał jest zdecydowanie najlepszyniesamowite szczególnie w   zawsze cieszę się z doskonałego wyniku myciawyjdź plamy bez obróbki wstępnej a zapach jest subtelny i świeżylepiej być lepszymlubię za to płacić jeszcze kilka euro,1
spodziewałam się lepszej jakosci proszek nie wyróżnia się niczym od zwykłego proszku ,1
dużo kilo nie pachnie jak niemiecki,1
tutaj uwaga do tych co piszą że kod kreskowy zaczyna się na  zamiast  kupując w sklepie niemieckim za granicą jest dokładnie tak samo jednak widać po produkcie że nie jest to produkt przeznaczony na rynek polski,1
zdecydowanie lepszy niż polski odpowiednik polecam,1
ariel z niemiec jak do tej pory mnie nie zawiódł wszystko czyste i doprane polecam,1
mam wrażenie  że to jakaś gorsza wersja nie pierze tak dobrze jak ten który kupiłam w sklepie ,1
moj ulubiony proszek super zapach swietnie pierze lepiej niz niemieckie te drozsze slawne ktore maja dodatkowo mase innych minusow i nie uczula,1
proszek gama z vizirem raczej nie ma nic wspólnego nie dopiera i po praniu nie pachnie jak niemiecki vizir ba on jest nawet słabszy niż polski vizir,1
za te pieniądze całkiem niezły proszek na pewno lepszy od tych w naszych marketach intensywny zapach dobrze pierze choć z większymi plamami jest czasem problem  nie jest to jakaś supermega rewelacja proszek nie jest produkowany w niemczech  ale i tak warto kupić  ,1
kupuję go dlatego że proszki produkowane na europę wschodnią mają w swoim składzie więcej wypełniaczy  kredy  niż te w niemczech początkowo niemcy  tak z małej litery  tłumaczyli to uwarunkowaniami klimatycznymi ale gdy ich agrument został wyśmiany stwierdzili że polacy zbyt dużo sypią proszku na każde pranie i stąd większa ilość kredy w produkcie ,1
bardzo dobry super co niemieckie to niemiecki ,1
żadnej różnicy czy nasz krajowy czy z niemiec,1
proszek jak proszek tylko ta wydajnośc lepsza niż jego polskiej wersji niemieckie wydanie wystarcza na znacznie dłużej,1
ładny zapach moim zdaniem jest lepszy od viziru z biedronki  ,1
następca viziru  proszku vizir używam od wielu lat i jestem mega zadowolony lepszego nie miałem jeszcze okazji testować mam wrażenie że ostatnimi czasy jakość spadła nieco i może dlatego zmienili markę nie jest on już produkowany w niemczech choć nadal jest faktycznie na rynek niemiecki i szwajcarski mimo wszystko jest to ciągle najlepszy znany mi proszek do prania o dużej wydajności nie niszczący odzieży przede wszystkim pranie po nim nie ma żadnego intensywnego zapachu ani po wyjęciu z pralki nie pachnie moczem przez chwilę ale jednak co jest prawie normą w wielu konkurencyjnych proszkach za to go uwielbiam nie lubię perfumowanych mocno proszków,1
vizir jak vizir trochę lepszy niż dostępny w polskich sklepach ,1
świetna niemiecka jakość produktu polecam,1
kupuję już długo vizir z zachodu z powodu świetnej jakości dobrze pierze ładnie pachnie,1
proszek jak to proszek niemiecka chemia,1
jakość i skuteczność proszku przeciętna  może dlatego że  nie jest to oryginalny produkt produkowany na rynek zachodni,1
żona mówi że jest lepszy niż polski,1
wydaje mi się że kiedyś był lepszy ale nadal jest nad polskimi proszkami,1
na zdjęciu niemiecki a w rzeczywistości polski,1
proszek miał być niemiecki  a przyjechał opisany po polsku ale zapach ok,1
oferta na stronie jako produkt niemiecki w rzeczywistości produkt czeski wprowadzanie w błąd klienta,1
super produkt niemiecki,1
proszek jak proszek nie wiem skąd te zachwyty nad niemiecką jakością skusiłam się pierwszy raz w życiu bo wszyscy tutaj pieją nad zapachem i praniem zapachu zero pierze dobrze tyle w temacie,1
niemieckie proszki do prania zawsze są najlepsze,1
polski produkt się umywaniby to samo ale do tego można powiedzieć  pierzesz w proszkustandard jak nas niemcy oszukują,1
nie ma jak niemiecka jakość kupuję regularnie,1
niemiecki pachnący  polecam  ,1
wygląda na to że proszek dobry nie robiony na wschód tak jak te w sklepach w polsce,1
niemiecka chemia jest najlepsza,1
prawdziwy niemiecki proszek pięknie pachnie,1
w  zgodne z opisem a jakosc  wiadomo niemiecka,1
proszek z metką niemiecką chyba nie trzeba nic więcej na ten temat pisać polecam,1
niemiecka jakosc super ,1
pierze jak polski produkt a jest niemieckim produktem no w skrócie nie ma szału normalnie pachnie jak polski nic szczególnego,1
znam proszek do mycia z wcześniej ale w tym czasie pachniał inaczej lepiej niż dzisiaja cena jest również stosunkowo wysokaz rabatu jest proszek do mycia który jest znacznie tańszy a jeszcze lepiej zapachpróbowałem ale znowu nie kupię go ponownieszkoda,1
zdecydowanie już nie byłodkryłem go tutaj ponownie w amazon po kilku latach zamówiłem go od razu i muszę powiedzieć że jestem rozczarowanyzapach jest świetny w opakowaniu ale pranie wcale nie pachnie szczególnie nie tak jak wcześniej wydajność mycia była również lepszanigdy więcej tego nie zamówięponadto jest teraz drogie,1
