content,language,doubleQuality
"w Biedronce ten sam produkt (66szt) za 48,99 zł, . Nie rozumiem dlaczego pisać, że wcześniejsza cena była 99,99zł, przecież nie jest to możliwe,skoro w sklepie w 2 razy taniej. Najlepiej nie zaznaczać, że promocja 50%. ",POL,0
ORYGINALNE OPAKOWANIE POLECAM,POL,0
Super zapach i czyste pranie.Polecam,POL,0
wszystko ok,POL,0
"skuteczne, używam od dłuższego czasu, spełniają swoją rolę",POL,0
Zgodne z opisem,POL,0
"Polecam, 100% oryginalny produkt",POL,0
"Nasze ulubione kapsułki, świetna jakość, dopierają praktycznie wszystkie plamy. Nie wymagają używania dodatkowych płynów. ",POL,0
Wszystko ok,POL,0
Zapach wporzadku. ,POL,0
ok.,POL,0
ok,POL,0
KAPSUŁKI POSKLEJANE I POPĘKANE !!! POŁOWA DO WYRZUCENIA !!!,POL,0
"ariel kasulki do prania jak sama nazwa wskazuje sa do prania, detergent sprawa ze ubrania sa czyste",POL,0
Szajs,POL,0
bardzo dobry,POL,0
intensywny zapach detergentu,POL,0
Totalny SZAJS !!!!!!!!!!!! KAPSUŁKI PO TRZ ALBO CZTERY TRWALE SKLEJONE!!!!!!!!!!!!!!!!!,POL,0
"Używam tych kapsułek już od dłuższego czasu. Ubrania dobrze wyprane, ładnie pachną. Paczka przyszła bardzo szybko, była dobrze zabezpieczona, żadna kapsułka nie pękła w transporcie. ",POL,0
"Moim zdaniem kompletnie zero zapachu, nawet przy użyciu 2 sztuk na niewielkie pranie, do tego 1/3 opakowania posklejane i popękane, pieniądze w błoto.",POL,0
Towar nie dotarł,POL,0
Nie otrzymałam,POL,0
"Mają dziwny zapach, który nie przypomina oryginału.",POL,0
"intensywny smród chemii na cały dom i okolicę,",POL,0
"Przepłaciłem 15 w sklepach stacjonarnych kosztuje 49,99",POL,0
"niektore kapsulki pęknęły w środku, inne się posklejali. średnia zabawa",POL,0
nie do końca rozpuszczają się kapsułki przez co mogą zostać ślady na ubraniach (z plastiku) jak tak się zdarzy trzeba ponownie namoczyć ubrania. Nie polecam. ,POL,0
ok,POL,0
ja zawsze stawiam na Ariel,POL,0
"super zapach, świetnie dopiera, polecam",POL,0
ok,POL,0
Stosunek ceny do jakości 10/10,POL,0
OK,POL,0
Polecam,POL,0
"Sprawdzony produkt, super cena",POL,0
Polecam,POL,0
"Kapsułki, jak kapsułki, piorą, ale bardzo brudne rzeczy trzeba zaprać i/lub namoczyć.
Ps. Żeby zawsze się rozpuściły (gdy dostaną się pod fartuch uszczelniający drzwi bębna, to się nie rozpuszczają do końca), trzeba je wkładać do woreczka na pranie.",POL,0
Super,POL,0
"Czy ja to kupowałem, nawet nie pamiętam. Ale chyba wszystko jest w porządku, bo żona nie zgłasza uwag.",POL,0
Smaczne,POL,0
"Dobrze piorą, ładnie pachną.",POL,0
ok,POL,0
Najlepszy,POL,0
"Są tak zarabiste, że same się wrzucają do pralki.  Polecam z całego serca.",POL,0
Wszystko OK,POL,0
Dobry produkt w dobrej cenie,POL,0
Kapsułki super.,POL,0
Bardzo dobry produkt,POL,0
ok,POL,0
Super,POL,0
dobre i tanie,POL,0
Wszystko OK. Polecam.,POL,0
Super polecam,POL,0
spełnia moje oczekiwania,POL,0
Bardzo dobre,POL,0
ok,POL,0
OK,POL,0
SUPER,POL,0
"Jak to chemia, brak zastrzeżeń. Skuteczne.",POL,0
ok,POL,0
Wysoka skuteczność,POL,0
"Po zakupie, niemiecka drogeria puściła w lepszej cenie - prawo Murphy'ego.",POL,0
ok,POL,0
polecam,POL,0
super polecam,POL,0
Polecam,POL,0
Polecam,POL,0
"od lat używam, bardzo skuteczny",POL,0
dobre kapsułki dobrze piorą i ładnie pachną :),POL,0
najlepsze kapsułki na rynku,POL,0
ok,POL,0
Mega pack i jakość,POL,0
W porządku,POL,0
Zapach 10x mocniejszy niż kapsułek które do tej pory kupowałem. Po wypraniu w nich spodni nie da się w nich chodzić ze względu na intensywność zapachu który wydzielają.,POL,0
Super produkt,POL,0
Polecam,POL,0
Ok,POL,0
Super polecam,POL,0
Moje ulubione kapsułki w innych nie piorę. Ślicznie pachną i rozpuszczają,POL,0
Tylko czemu w Biedronce jest taniej ( co prawda na promocjach ) ? To chyba najlepsze kapsułki na rynku polskim.,POL,0
używam ich od paru lat i są bardzo dobre.,POL,0
Jedne z najlepszych jakie używałem.,POL,0
Znalazło się kilka kapsułek pękniętych a tak nie powinno być,POL,0
Sprawdzona skuteczność,POL,0
uwielbiam,POL,0
Spoko,POL,0
Polecam,POL,0
Dobra cena za dobrą jakość. Polecam,POL,0
Ok,POL,0
"Bardzo dobre kapsułki, ładnie pachną i dobrze piorą. Jestem zadowolona.",POL,0
Dobre kapsułki pranie pięknie pachnie,POL,0
"poleam ,",POL,0
Super pranie,POL,0
Produkt zgodny z opisem. Polecam,POL,0
zgodnie z opisem,POL,0
OK Polecam,POL,0
swietny zestaw w dobrej cenie,POL,0
ok,POL,0
Używam od dłuższego czasu i polecam. Piorą bardzo dobrze.,POL,0
Super,POL,0
ocena pozytywna,POL,0
"polecam, zapach obłędny. najlepsze kapsułki",POL,0
wszystko ok,POL,0
ok,POL,0
Polecam,POL,0
"Kapsułki Ariel to środek do prania, który używam od wielu lat i jak na razie nie zamierzam zmieniać.",POL,0
ok,POL,0
polecam,POL,0
Wszystko w porządku .,POL,0
Jestem zadowolona,POL,0
Polecam,POL,0
Ok ale stosunkowo drogo,POL,0
Kapsułki w dobrej cenie.,POL,0
jak to kapsułki,POL,0
"Kupiłem z myślą o oszczędzaniu w budżecie domowym na 3 miesiące. Niestety już po miesiącu kapsułki zaczęly przeciekać (tzn może wcześniej, ale nie zauważyliśmy biorąc z góry). Próbowaliśmy je wysuszyć, rozkładając na ręcznikach, ale dalej ciekły. Ostatecznie wykorzystaliśmy połowę/ część ysuszonych jak sięzdawało, przełożyliśmy do słoika, ale nadal się rozpuszczają, ok 10 wykorzystaliśmy na wakacyjne dodatkowe prania , ale 1/3 do wyrzucenia. Pytanie czy upaly, czy wadliwy produkt z fabryki zapakwano, czy to może podróbka w oryginlanym opakowaniu Ariel color?. Mam takie duże opakowania Ariela o innych cechach i nigdy to się nie zdarzyło. Nie wiem czy dalej ryzykować, aż strach kupić większe opakowanie np. 80szt? Jak to reklamować? Dałem 2 gwiazdki, bo piorą brudy.",POL,0
Polecam.,POL,0
Jak w opisie,POL,0
"Dobry produkt, atrakcyjna cena.",POL,0
Polecam.,POL,0
Pachną że hoho ho ho hooo,POL,0
"tylko Ariel, polecam",POL,0
Polecam,POL,0
"jestem bardzo zadowolona z zakupu, rewelacyjnie dopiera wszelkie zabrudzenia",POL,0
OK.,POL,0
ok,POL,0
"super,POLECAM",POL,0
ok,POL,0
Najlepsze kapsułki do prania,POL,0
Polecam,POL,0
Specyficzny zapach.,POL,0
Spełnia swoje zadanie,POL,0
ok,POL,0
Najlepsze kapsułki w mojej opini,POL,0
polecam,POL,0
Polecam,POL,0
Sprawdzone! Dobre efekty prania.,POL,0
Bardzo dobry produkt,POL,0
"Najlepsze kapsułki, zawsze dopierają",POL,0
ok,POL,0
Ok,POL,0
"polecam, lbusz",POL,0
Co tu pisać.,POL,0
super spawa pranie lsni biela polecam,POL,0
ok,POL,0
ok...,POL,0
"myślałem ze rewelacyjna cena, okazało się że nie do końca, gdyż za dwa dni w markecie ten sam produkt był około 10 zł tańszy, reszta bez uwag",POL,0
Kapsułki idealne do prania i super duża paka. Polecam,POL,0
"Cudowny zapach, świetnie dopierają plamy, nie uczulają.",POL,0
Nic się nie zmieniło nadal piorą z imponującą mocą i zapachem .,POL,0
bardzo dobre,POL,0
Starcza na długo i ma super cene.,POL,0
Super!!!,POL,0
Super polecam,POL,0
"Myślę, że pranie porównywalne jak po innych kapsułkach, które do tej pory używałam (4 producentów)....jednak przyjemniejszy zapach dla mnie mają kapsułki lenor i dłużej się utrzymuje.",POL,0
Ok,POL,0
"Pięknie pachną, pranie czyściutkie",POL,0
"kapsułki źle się rozpuszczają, pozostawiają ślady na ubraniach",POL,0
"kapsułki źle się rozpuszczają, pozostawiają ślady na ubraniach",POL,0
"Super produkt, wszystko ładnie pachnie.",POL,0
Wszystko wg opisu. Polecam,POL,0
polecam!!!,POL,0
Super zapach i jakosc,POL,0
"Przyjemny zapach, długo się utrzymuje na ubraniach",POL,0
"ładnie pachnie, polecam",POL,0
Ok,POL,0
zgodne z opisem,POL,0
OK!,POL,0
"Produkt uszkodzony. Rozwalone przynajmniej trzy kapsułki, posklejały się z innymi przez co ciężko rozłączyć je by wyciągnąć do pralki.",POL,0
Te kapsulki kupuje cały czas.Polecam.,POL,0
Wszystko ok,POL,0
polecam,POL,0
Jak kapsułki to tylko Ariel,POL,0
"Zgodnie z opisem, najlepiej piorące kapsułki, tutaj w dobrym stosunku ceny do ilości.",POL,0
Ok,POL,0
polecam,POL,0
ok,POL,0
Polecam produkt super,POL,0
uwielbiam polecam,POL,0
Wszystko zgodne z opisem,POL,0
Pranie jest czyste.,POL,0
Polecam,POL,0
ok,POL,0
"Świetnie dopiera, aż miło",POL,0
Wszystko OK...,POL,0
Wszystko zgodne  z opisem i ze zdjeciem,POL,0
Ok,POL,0
ok,POL,0
Wszystko OK-polecam,POL,0
POLECAM NAJLEPSZE KAPSUŁKI DO PRANIA.,POL,0
"Dla mnie najlepsze kapsułki do prania. Skuteczne, ładnie pachnące. Polecam!",POL,0
ok,POL,0
"Praktyczne opakowanie, bardzo dobry środek piorący. Polecam",POL,0
Super produkt,POL,0
Ok,POL,0
Polecam!,POL,0
OK,POL,0
Wszystko ok,POL,0
Produkt wysokiej jakości,POL,0
Produkt zgodny z opisem.,POL,0
"Wszystko super, tak jak powinno być.",POL,0
ok,POL,0
Kapsułki super piorą. Polecam.,POL,0
zawsze ich używam więc są super,POL,0
Super.,POL,0
Pierze,POL,0
OK,POL,0
dobra jakość i cena,POL,0
Dobra cena.,POL,0
ok,POL,0
piękny zapach,POL,0
wszystko oki..,POL,0
Super,POL,0
Polecam,POL,0
"Bardzo dobre, odpierają",POL,0
Mama bardzo chwali sobie ten produkt.,POL,0
Wszystko ok,POL,0
Wydajne opakowania w dobrej cenie.,POL,0
Najlepsza  jakość,POL,0
Super,POL,0
ok !,POL,0
Najlepsze kapsułki,POL,0
Uwielbiam w nich prać!,POL,0
Rzeczywiście piorą bardzo dobrze,POL,0
Super kapsułki,POL,0
Silny zapach super,POL,0
"Ok, piorą jak trzeba",POL,0
super kapsułki POLECAM,POL,0
Pranie bez zarzutu.,POL,0
Skuteczne,POL,0
"Dobra cena, piorę kapsułkami odkąd się pojawiły. Przynajmniej pralka nie dostaje po d...",POL,0
ok,POL,0
"ok,jestem zadowolona",POL,0
Super jakość,POL,0
Kapsułki dobrze piorą i są wygodne w użyciu.,POL,0
Wszystko ok z kapsułkami. Polecam.,POL,0
Pierze jak szalone,POL,0
"Dobra jakość, kapsułki dobrze piorą zabrudzoną odzież",POL,0
"Dobrze pierze, ale pranie dość mocno czuć proszkiem do prania.",POL,0
"Najlepsze ze wszystkich, które wypróbowaliśmy. Świetnie piorą i nie wywołują reakcji alergicznej.",POL,0
Dobry produkt w dobrej cenie. Polecam.,POL,0
piękny świeży zapach,POL,0
czasem się nie rozpuszczają na krótszych programach,POL,0
Dobry produkt. ubrania pachną i są czyste nawet na krótkim praniu.,POL,0
Ok towar zgodny z oczekiwaniem.,POL,0
OK,POL,0
Polecam,POL,0
Super kapsułki najlepsze ze wszystkich,POL,0
Szybko sprawnie.,POL,0
Łatwe w użyciu. Dobrze piorą,POL,0
Ok,POL,0
"Bardzo dobre kapsułki, czystość ubrania porównywalna do zwykłych proszków. Jest to moje 3 opakowanie, żadnych problemów z kapsułkami. Polecam! Mega wygoda!",POL,0
"Najlepsze kapsułki, które dokladnie rozpuszczają się nawet w zimnej wodzie.",POL,0
Opłacalny zakup,POL,0
Bardzo dobre !!!,POL,0
W porządku,POL,0
"Najlepsze kapsułki, piękny zapach, który długo się utrzymuje, nie potrzeba nawet płynu zapachowego",POL,0
Okarze się w praniu .wcześniej już kupowałem i jest okej,POL,0
Sprawdzają się w pracy :-),POL,0
Produkt  dobrej jakości,POL,0
Polecam,POL,0
"Dobry Ariel, smaczny Ariel.",POL,0
Moje ulubione.,POL,0
wszystko ok,POL,0
polecam,POL,0
Dla mnie najlepsze,POL,0
Ok,POL,0
Skuteczny,POL,0
Super jak zawsze. Piorę Arielem od lat i nigdy nie narzekałam na jego jakość. Teraz jest tak samo. Polecam,POL,0
ok,POL,0
"Ładnie pachną, dobrze piora",POL,0
SUPER,POL,0
ok,POL,0
ok,POL,0
ok,POL,0
polecam,POL,0
wszystko ok Polecam!,POL,0
ok,POL,0
"Bardzo dobra jakość, przyszły nieuszkodzone. Polecam.",POL,0
Polecam,POL,0
ok,POL,0
"Długotrwały zapach, bardzo dobre efekty prania. Polecam",POL,0
"bardzo dobre,tylko te używam",POL,0
Dobra jakość,POL,0
Polecam,POL,0
"polecam, wszystko ok",POL,0
ok,POL,0
polecam pranie czyste i pachnące plamy schodzą,POL,0
"Dobra i sprawdzona jakość, warta polecenia.",POL,0
super,POL,0
Polecam.,POL,0
