,ordinal,date_info,name,title,content,category,advantages,disadvantages,rating,language,helpful,unhelpful,doubleQuality,verified,product_id,product_source,auction_number,product_name,product_url,product_origin,positivePhrases,neutralPhrases,negativePhrases
169,170,13.11.2022,M.,Naja...,"Ich kenne das Waschpulver noch von früher aber damals hat es anders (besser) gerochen als heute. Und der Preis ist auch relativ hoch. Da gibt's Waschpulver vom Diskonter die wesentlich billiger sind und sogar besser duften. Ich habs probiert, aber nochmal werde ich es bestimmt nicht mehr kaufen. Schade",neutral,,,3,DEU,3.0,,True,True,e8c49f0f-6e4e-4782-8c9e-034df69eb75c,https://www.amazon.de,B09LMKMGXF,"Dash® Color Frische Pulver I Waschmittel für bunte Wäsche I 100 Waschladungen I konzentrierte Rezeptur I frische, leuchtende Wäsche | 6 kg",https://www.amazon.de/-/pl/dp/B09LMKMGXF/ref=sr_1_5?keywords=dash+color+waschmittel&qid=1673340303&sprefix=dash+co%2Caps%2C450&sr=8-5&language=de_DE,DEU,0,0,0
177,178,03.02.2022,Blutonium,Teuer und nicht gut,"Definitiv nicht mehr, was er mal war. Habe ihn nach ein paar Jahren wieder hier bei Amazon entdeckt, gleich bestellt und muss sagen, bin recht enttäuscht. Der Duft ist nur in der Verpackung toll, die Wäsche duftet allerdings überhaupt nicht mehr, schon gar nicht so wie früher, die Waschleistung war auch besser. Werde ihn sicher nie wieder bestellen. Außerdem ist er jetzt sau teuer🤢!",negative,,,2,DEU,4.0,,True,True,e8c49f0f-6e4e-4782-8c9e-034df69eb75c,https://www.amazon.de,B09LMKMGXF,"Dash® Color Frische Pulver I Waschmittel für bunte Wäsche I 100 Waschladungen I konzentrierte Rezeptur I frische, leuchtende Wäsche | 6 kg",https://www.amazon.de/-/pl/dp/B09LMKMGXF/ref=sr_1_5?keywords=dash+color+waschmittel&qid=1673340303&sprefix=dash+co%2Caps%2C450&sr=8-5&language=de_DE,DEU,0,0,0
237,238,2022.04.20,Camilina,Duft war früher besser,Leider wurde vor einiger Zeit der Geruch verändert und das nicht zum Vorteil. Hat mir früher besser gefallen. Schade.,neutral,,,3,DEU,1.0,0.0,True,False,c362b9aa-20ad-443f-8710-29ac50dbd6ec,dm.de,4058172585777,Denkmit Colorwaschmittel Pulver,https://www.dm.de/denkmit-colorwaschmittel-pulver-p4058172585777.html,DEU,0,0,0
260,261,2022.02.22,mamila,Bin sehr zufrieden,"Ich benutze dieses Waschpulver bestimmt schon 15 Jahre. Es ist ergiebig, von Zeit zu Zeit sollte man die Waschmittelmenge sowieso reduzieren da die Hersteller dieses immer wieder konzentrieren. Die Farben bleiben verblassen nicht und ie Wäsche wird fleckenlos sauber. Leider gibt es die großen Packungen nicht mehr.",positive,,,4,DEU,9.0,0.0,True,False,c362b9aa-20ad-443f-8710-29ac50dbd6ec,dm.de,4058172585777,Denkmit Colorwaschmittel Pulver,https://www.dm.de/denkmit-colorwaschmittel-pulver-p4058172585777.html,DEU,0,0,0
294,295,2022.12.12,TeinMom,Neue Formel furchtbar,Seit dem die Formel geändert wurde stinkt das Waschmittel extrem und auch nach dem waschen stinkt die Wäsche sogar. Früher war es viel besser. Warum muss immer etwas verändert werden?.,negative,,,1,DEU,8.0,1.0,True,False,c362b9aa-20ad-443f-8710-29ac50dbd6ec,dm.de,4058172585777,Denkmit Colorwaschmittel Pulver,https://www.dm.de/denkmit-colorwaschmittel-pulver-p4058172585777.html,DEU,0,0,0
415,416,16.08.2022,Customer,"Neue Version mit stark übertriebenen Gestank bzw. ""Duft""","Ich gehe davon aus, dass ich das Produkt auf dem Titelbild bekomme mit Lavendel welches ich auch schon vorher bestellt habe und herrlich angenehn und moderat riecht. Statt dessen bekommt man hier eine andere neue Version ""Lavendel & Eukalyptus"", die sich auch von der Verpackung her unterscheidet und die stinkt wie eine Chemiebombe. Da ist null natürlicher Geruch mehr... Der Händler 'Toleoo' behauptet es sei das richtige Produkt gelifert worden, was offensichtlicherweise nicht stimmt. Wäre es von gleicher Qualität wär das kein Ding aber so eine Chemiebombe kommt mir nicht ins Haus. Ohne Spaß, ich habe die geschlossene Packung über Nacht vor der Haustür stehen lassen weil schon nach kurzer Zeit das ganze Treppenhaus danach gestunken hat. Am nächsten Tag gings dann sofort retoure.",negative,,,1,DEU,3.0,,True,True,5550aa11-7f34-46ad-ac40-f5b923108eb4,https://www.amazon.de,B004XP5EEK,"Ecover Waschpulver Konzentrat Lavendel (3 kg / 40 Waschladungen), Vollwaschmittel mit pflanzenbasierten Inhaltsstoffen, Waschmittel Pulver für natürlich fasertief reine Weißwäsche",https://www.amazon.de/Ecover-Universal-Waschpulver-Konzentrat-Waschladungen/dp/B004XP5EEK/ref=sr_1_5?__mk_de_DE=ÅMÅŽÕÑ&crid=1ZIPLC4RDIZGE&keywords=Ecover+Color+Waschpulver+Konzentrat+Lavendel&qid=1673380324&sprefix=ecover+color+waschpulver+konzentrat+lavendel%2Caps%2C141&sr=8-5,DNK,0,0,0
451,452,12.06.2012,kabebe,Unkonzentriertes Konzentrat,"War bei der Bestellung der Ansicht, es handle sich um das mir schon bekannte ""ECOVER Ökologisches Waschpulver"", das normaler Weise in einer 1,2 kg-Packung angeboten wird, nur eben mehr davon. Musste dann aber feststellen, dass bei diesem ""Konzentrat"" eine doppelt so hohe Dosierung angegeben ist wie beim Produkt""ECOVER Ökologisches Waschpulver"". Zudem verklebt das Pulver beim Einspülen in der Spülkammer und wird so nicht vollständig weggespült. Die - gute - Waschwirkung entspricht zwar dem anderen Produkt, aber bei der Handhabung schneidet dieses Konzentrat deutlich schlechter ab.",neutral,,,3,DEU,0.0,,True,True,5550aa11-7f34-46ad-ac40-f5b923108eb4,https://www.amazon.de,B004XP5EEK,"Ecover Waschpulver Konzentrat Lavendel (3 kg / 40 Waschladungen), Vollwaschmittel mit pflanzenbasierten Inhaltsstoffen, Waschmittel Pulver für natürlich fasertief reine Weißwäsche",https://www.amazon.de/Ecover-Universal-Waschpulver-Konzentrat-Waschladungen/dp/B004XP5EEK/ref=sr_1_5?__mk_de_DE=ÅMÅŽÕÑ&crid=1ZIPLC4RDIZGE&keywords=Ecover+Color+Waschpulver+Konzentrat+Lavendel&qid=1673380324&sprefix=ecover+color+waschpulver+konzentrat+lavendel%2Caps%2C141&sr=8-5,DNK,0,0,0
608,609,16.08.2022,Customer,"Neue Version mit stark übertriebenen Gestank bzw. ""Duft""","Ich gehe davon aus, dass ich das Produkt auf dem Titelbild bekomme mit Lavendel welches ich auch schon vorher bestellt habe und herrlich angenehn und moderat riecht. Statt dessen bekommt man hier eine andere neue Version ""Lavendel & Eukalyptus"", die sich auch von der Verpackung her unterscheidet und die stinkt wie eine Chemiebombe. Da ist null natürlicher Geruch mehr... Der Händler 'Toleoo' behauptet es sei das richtige Produkt gelifert worden, was offensichtlicherweise nicht stimmt. Wäre es von gleicher Qualität wär das kein Ding aber so eine Chemiebombe kommt mir nicht ins Haus. Ohne Spaß, ich habe die geschlossene Packung über Nacht vor der Haustür stehen lassen weil schon nach kurzer Zeit das ganze Treppenhaus danach gestunken hat. Am nächsten Tag gings dann sofort retoure.",negative,,,1,DEU,3.0,,True,True,5550aa11-7f34-46ad-ac40-f5b923108eb4,https://www.amazon.de,B00IXKBC06,"Ecover Universal Waschpulver Konzentrat Lavendel (4x 1,2 kg / 64 Waschladungen), Vollwaschmittel mit pflanzenbasierten Inhaltsstoffen, Waschmittel Pulver für saubere Wäsche ab 30°C",https://www.amazon.de/Ecover-Universal-Waschpulver-Konzentrat-Lavendel/dp/B00IXKBC06/ref=sr_1_6?__mk_de_DE=ÅMÅŽÕÑ&crid=1ZIPLC4RDIZGE&keywords=Ecover%2BColor%2BWaschpulver%2BKonzentrat%2BLavendel&qid=1673380324&sprefix=ecover%2Bcolor%2Bwaschpulver%2Bkonzentrat%2Blavendel%2Caps%2C141&sr=8-6&th=1,DEU,0,0,0
644,645,12.06.2012,kabebe,Unkonzentriertes Konzentrat,"War bei der Bestellung der Ansicht, es handle sich um das mir schon bekannte ""ECOVER Ökologisches Waschpulver"", das normaler Weise in einer 1,2 kg-Packung angeboten wird, nur eben mehr davon. Musste dann aber feststellen, dass bei diesem ""Konzentrat"" eine doppelt so hohe Dosierung angegeben ist wie beim Produkt""ECOVER Ökologisches Waschpulver"". Zudem verklebt das Pulver beim Einspülen in der Spülkammer und wird so nicht vollständig weggespült. Die - gute - Waschwirkung entspricht zwar dem anderen Produkt, aber bei der Handhabung schneidet dieses Konzentrat deutlich schlechter ab.",neutral,,,3,DEU,0.0,,True,True,5550aa11-7f34-46ad-ac40-f5b923108eb4,https://www.amazon.de,B00IXKBC06,"Ecover Universal Waschpulver Konzentrat Lavendel (4x 1,2 kg / 64 Waschladungen), Vollwaschmittel mit pflanzenbasierten Inhaltsstoffen, Waschmittel Pulver für saubere Wäsche ab 30°C",https://www.amazon.de/Ecover-Universal-Waschpulver-Konzentrat-Lavendel/dp/B00IXKBC06/ref=sr_1_6?__mk_de_DE=ÅMÅŽÕÑ&crid=1ZIPLC4RDIZGE&keywords=Ecover%2BColor%2BWaschpulver%2BKonzentrat%2BLavendel&qid=1673380324&sprefix=ecover%2Bcolor%2Bwaschpulver%2Bkonzentrat%2Blavendel%2Caps%2C141&sr=8-6&th=1,DEU,0,0,0
1552,1553,8.10.2021,Shopping Girl :-),,"Bereits durch die Verpackung ist dieser üble Geruch wahrnehmbar - ich hatte bereits zuvor eine Pkg gekauft, und habe mich überwunden, doch eine 60er Wäsche damit zu waschen .......... Die gesamte Wäsche stinkt ebenso pestialisch, als es in Pulverform wahrnehmbar ist, zudem so richtig ""vermodert"", musste mich beinahe übergeben!. Bin schwer enttäuscht vom Hersteller, dass er dieses tolle Produkt dermaßen verschlechtert hat!. In der Hoffnung, noch eine alte Pkg zu erhalten, bestellte ich eine weitere, diese sende ich nun ungeöffnet zurück, weil man auch hier durch die geschlossene Packung den miesen Geruch wahr nehmen kann.. Schade hoch Zehn!!! KEINE Kaufempfehlung für das ""Neue"" Ariel in Pulverform!",negative,,,1,DEU,0.0,,True,False,7d498bea-c947-4c93-b725-f44647202165,https://www.amazon.de,B08WQRHZJW,"Ariel Waschmittel Pulver, Waschpulver, Color Waschmittel, 40 Waschladungen, Farbschutz (2.6 kg)",https://www.amazon.de/-/pl/dp/B08WQRHZJW?language=de_DE,CZE,0,0,0
